昆明机场飞行动态,,,,,
,,,,,2017年06月26日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B6325,昆明/1350,/,常州
2,3U8108,B6325,常州/2235,/,昆明
3,3U8129,B6449,昆明/0925,/,版纳
4,3U8130,B6449,版纳/1115,/,昆明
5,3U8201,B6732,昆明/1610,/,上海
6,3U8202,B6732,上海/2025,/,昆明
7,3U8205,B1661,昆明/1700,/,广州
8,3U8206,B8326,广州/0615,/,昆明
9,3U8222,B6770,南宁/1935,/,昆明
10,3U8259,B8657,昆明/1120,/,南京
11,3U8260,B8657,南京/1510,/,昆明
12,3U8513,B8329,昆明/0715,/,重庆
13,3U8514,B8329,重庆/1545,/,昆明
14,3U8527,B6772,昆明/2320,/,西安
15,3U8528,B6778,西安/1950,/,昆明
16,3U8529,B6770,杭州/0900,/,昆明
17,3U8530,B6770,昆明/1305,/,杭州
18,3U8553,B6953,昆明/0845,/,重庆
19,3U8554,B6953,重庆/2235,/,昆明
20,3U8661,B8657,成都/0720,/,昆明
21,3U8662,B8499,昆明/2300,/,成都
22,3U8667,B8329,成都/2205,/,昆明
23,3U8668,B8329,昆明/1830,/,成都
24,3U8669,B8499,昆明/0730,/,成都
25,3U8670,B8499,成都/1720,/,昆明
26,3U8723,B6770,北京/0720,/,昆明
27,3U8724,B8325,昆明/2150,/,北京
28,3U8761,B6719,昆明/1510,/,无锡
29,3U8762,B6719,无锡/1925,/,昆明
30,3U8767,B8500,昆明/0700,/,南宁
31,3U8768,B8500,南宁/1440,/,昆明
32,3U8817,B6442,昆明/0730,/,丽江
33,3U8818,B6442,丽江/1510,/,昆明
34,3U8823,B8326,昆明/2005,/,南昌
35,3U8824,B8326,南昌/2315,/,昆明
36,3U8837,B6771,昆明/1415,/,万州
37,3U8838,B6771,万州/1140,/,昆明
38,3U8847,B6772,昆明/0750,/,郑州
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8848,B6772,郑州/1905,/,昆明
40,3U8901,B6325,昆明/0650,/,珠海
41,3U8902,B6325,珠海/1010,/,昆明
42,3U8929,B8325,昆明/0805,/,长沙
43,3U8930,B8325,长沙/1855,/,昆明
44,3U8947,B6956,昆明/0655,/,济南
45,3U8948,B6956,济南/1050,/,昆明
46,3U8957,B6956,昆明/1520,/,台北
47,3U8958,B6956,台北/1910,/,昆明
48,3U8967,B6449,昆明/1310,/,重庆
49,3U8968,B6449,重庆/2355,/,昆明
50,8L9503,B5971,昆明/1055,/,莫斯科
51,8L9504,B5971,莫斯科/2205,/,昆明
52,8L9519,B5292,昆明/1220,/,芒市
53,8L9520,B5292,芒市/1355,/,昆明
54,8L9555,B7989,昆明/2310,/,海口
55,8L9556,B1825,海口/0700,/,昆明
56,8L9584,B6800,马尼拉/0440,/,昆明
57,8L9595,B5407,昆明/0900,/,吉隆坡
58,8L9596,B5407,吉隆坡/1335,/,昆明
59,8L9597,B7167,昆明/2350,/,曼谷
60,8L9623,B6809,昆明/1045,/,杭州
61,8L9624,B6809,杭州/1445,/,昆明
62,8L9647,B8445,昆明/0710,/,淮安
63,8L9648,B8445,淮安/1650,/,昆明
64,8L9651,B1798,昆明/0950,/,郑州
65,8L9652,B5449,郑州/0705,/,昆明
66,8L9655,B7167,昆明/0610,/,忻州
67,8L9656,B7167,忻州/1805,/,昆明
68,8L9677,B5449,昆明/1830,/,卡姆拉恩
69,8L9678,B5449,卡姆拉恩/2300,/,昆明
70,8L9689,B1588,昆明/1345,/,合肥
71,8L9690,B1588,合肥/1945,/,昆明
72,8L9709,B7988,昆明/0640,/,连城
73,8L9710,B7988,连城/1435,/,昆明
74,8L9801,B5810,昆明/2355,/,丽江
75,8L9802,B6198,丽江/0715,/,昆明
76,8L9805,B6943,昆明/1400,/,丽江
77,8L9806,B6943,丽江/1130,/,昆明
