昆明机场飞行动态,,,,,
,,,,,2017年06月27日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8107,B8329,昆明/1405,/,常州
2,3U8108,B8329,常州/2235,/,昆明
3,3U8129,B6449,昆明/0925,/,版纳
4,3U8130,B6449,版纳/1115,/,昆明
5,3U8206,B1661,广州/0615,/,昆明
6,3U8215,B6732,昆明/1440,/,郑州
7,3U8216,B6732,郑州/1825,/,昆明
8,3U8221,B8331,昆明/1155,/,南宁
9,3U8222,B8331,南宁/1935,/,昆明
10,3U8243,B6778,昆明/1515,/,厦门
11,3U8244,B6778,厦门/1915,/,昆明
12,3U8259,B1822,昆明/1120,/,南京
13,3U8260,B1822,南京/1510,/,昆明
14,3U8513,B6325,昆明/0715,/,重庆
15,3U8514,B6325,重庆/1545,/,昆明
16,3U8527,B6953,昆明/2320,/,西安
17,3U8528,B6697,西安/1950,/,昆明
18,3U8529,B1818,杭州/0900,/,昆明
19,3U8530,B1818,昆明/1305,/,杭州
20,3U8553,B6719,昆明/0845,/,重庆
21,3U8554,B6719,重庆/2235,/,昆明
22,3U8597,B6953,昆明/0745,/,太原
23,3U8598,B6953,太原/1910,/,昆明
24,3U8619,B6442,昆明/2100,/,版纳
25,3U8620,B6045,版纳/2200,/,昆明
26,3U8637,B1661,昆明/1705,/,广州
27,3U8661,B1822,成都/0720,/,昆明
28,3U8662,B8948,昆明/2300,/,成都
29,3U8667,B6325,成都/2125,/,昆明
30,3U8668,B6325,昆明/1820,/,成都
31,3U8669,B8500,昆明/0730,/,成都
32,3U8670,B8500,成都/1710,/,昆明
33,3U8685,B6590,昆明/1600,/,长沙
34,3U8686,B6590,长沙/1235,/,昆明
35,3U8709,B6956,昆明/0850,/,万象
36,3U8710,B6956,万象/1130,/,昆明
37,3U8723,B8331,北京/0720,/,昆明
38,3U8724,B8657,昆明/2150,/,北京
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8761,B8326,昆明/1510,/,无锡
40,3U8762,B8326,无锡/1925,/,昆明
41,3U8767,B8657,昆明/0700,/,南宁
42,3U8768,B8657,南宁/1440,/,昆明
43,3U8807,B8948,昆明/0750,/,徐州
44,3U8808,B8948,徐州/1705,/,昆明
45,3U8817,B6442,昆明/0730,/,丽江
46,3U8818,B6442,丽江/1440,/,昆明
47,3U8823,B8500,昆明/1945,/,南昌
48,3U8824,B8500,南昌/2300,/,昆明
49,3U8837,B1665,昆明/1415,/,万州
50,3U8838,B1665,万州/1140,/,昆明
51,3U8865,B6778,昆明/0720,/,宁波
52,3U8866,B6778,宁波/1110,/,昆明
53,3U8917,B6732,昆明/0625,/,厦门
54,3U8918,B6732,厦门/1005,/,昆明
55,3U8947,B8326,昆明/0655,/,济南
56,3U8948,B8326,济南/1050,/,昆明
57,3U8967,B6449,昆明/1310,/,重庆
58,3U8968,B6449,重庆/2355,/,昆明
59,8L9545,B5359,昆明/0710,/,太原
60,8L9546,B5359,太原/1335,/,昆明
61,8L9555,B6809,昆明/2310,/,海口
62,8L9556,B7989,海口/0700,/,昆明
63,8L9557,B6015,昆明/0610,/,锦州
64,8L9558,B6015,锦州/1820,/,昆明
65,8L9585,B7167,昆明/0710,/,南宁
66,8L9586,B7167,南宁/2235,/,昆明
67,8L9598,B7167,曼谷/0425,/,昆明
68,8L9623,B6809,昆明/1045,/,杭州
69,8L9624,B6809,杭州/1445,/,昆明
70,8L9637,B6221,昆明/1230,/,苏梅岛
71,8L9638,B6221,苏梅岛/1640,/,昆明
72,8L9647,B1825,昆明/0710,/,淮安
73,8L9648,B1825,淮安/1530,/,昆明
74,8L9651,B7989,昆明/0950,/,郑州
75,8L9652,B6809,郑州/0705,/,昆明
76,8L9685,B5292,昆明/0700,/,凯里
77,8L9686,B5292,凯里/1545,/,昆明
78,8L9689,B2677,昆明/1845,/,合肥
79,8L9690,B2677,合肥/2220,/,昆明
80,8L9697,B8446,昆明/0825,/,普吉
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9698,B8446,普吉/1240,/,昆明
82,8L9747,B6800,昆明/1340,/,CEB
83,8L9748,B6800,CEB/1915,/,昆明
84,8L9801,B5825,昆明/2355,/,丽江
85,8L9802,B5810,丽江/0655,/,昆明
86,8L9803,B5825,昆明/0715,/,丽江
87,8L9804,B5825,丽江/2135,/,昆明
88,8L9841,B1563,昆明/0900,/,普洱
89,8L9842,B1563,普洱/1035,/,昆明
90,8L9849,B5805,昆明/0705,/,迪庆
91,8L9850,B5805,迪庆/0905,/,昆明
92,8L9855,B1588,昆明/1610,/,绵阳
93,8L9856,B1587,绵阳/0740,/,昆明
94,8L9857,B5272,昆明/1300,/,腾冲
95,8L9858,B5272,腾冲/1455,/,昆明
96,8L9863,B6959,昆明/0700,/,重庆
97,8L9864,B6959,重庆/1550,/,昆明
98,8L9865,B2677,昆明/0710,/,济南
99,8L9866,B2677,济南/1130,/,昆明
100,8L9869,B7988,昆明/1420,/,武汉
101,8L9870,B7988,武汉/2325,/,昆明
102,8L9871,B5810,昆明/1350,/,宜昌
103,8L9872,B5810,宜昌/2230,/,昆明
104,8L9873,B1586,昆明/0700,/,赣州
105,8L9874,B1586,赣州/1425,/,昆明
106,8L9883,B1563,昆明/1800,/,南京
107,8L9884,B1563,南京/2150,/,昆明
108,8L9885,B5732,昆明/0910,/,徐州
109,8L9886,B5732,徐州/2030,/,昆明
110,8L9887,B5409,昆明/0830,/,宜春
111,8L9888,B5409,宜春/1750,/,昆明
112,8L9889,B8446,昆明/1700,/,上海
113,8L9890,B8446,上海/2135,/,昆明
114,8L9891,B7993,昆明/1000,/,武汉
115,8L9892,B7993,武汉/2030,/,昆明
116,8L9893,B6198,昆明/0715,/,珠海
117,8L9894,B6198,珠海/1010,/,昆明
118,8L9903,B5805,版纳/2100,/,昆明
119,8L9904,B5805,昆明/1510,/,版纳
120,8L9905,B5272,版纳/0700,/,昆明
121,8L9906,B5292,昆明/2310,/,版纳
122,8L9915,B5810,版纳/1155,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9916,B5810,昆明/0915,/,版纳
124,8L9931,B5249,昆明/1730,/,芒市
125,8L9932,B5249,芒市/1245,/,昆明
126,8L9933,B1563,昆明/1245,/,腾冲
127,8L9934,B1563,腾冲/1520,/,昆明
128,8L9935,B6198,昆明/1305,/,芒市
129,8L9936,B6198,芒市/2145,/,昆明
130,8L9945,B5805,昆明/2355,/,成都
131,8L9946,B5823,成都/2350,/,昆明
132,8L9947,B1587,昆明/1025,/,成都
133,8L9948,B1587,成都/1310,/,昆明
134,8L9955,B1586,昆明/2200,/,郑州
135,8L9956,B1798,郑州/1405,/,昆明
136,8L9957,B1588,昆明/0710,/,武汉
137,8L9958,B1588,武汉/1020,/,昆明
138,8L9965,B7988,昆明/0715,/,三亚
139,8L9966,B7988,三亚/1030,/,昆明
140,8L9971,B5359,昆明/1845,/,海口
141,8L9972,B5359,海口/2145,/,昆明
142,8L9973,B5449,昆明/0705,/,郑州
143,8L9974,B7992,郑州/2230,/,昆明
144,8L9979,B5971,昆明/1620,/,深圳
145,8L9980,B5971,深圳/1955,/,昆明
146,8L9983,B6959,昆明/1930,/,西安
147,8L9984,B6959,西安/2255,/,昆明
148,8L9985,B8445,昆明/1530,/,太原
149,8L9986,B8445,太原/2245,/,昆明
150,8L9988,B8445,北京/0620,/,昆明
151,8L9993,B1798,昆明/2155,/,西安
152,8L9994,B7993,西安/0625,/,昆明
153,8L9995,B5407,昆明/0745,/,银川
154,8L9996,B5407,银川/1115,/,昆明
155,9C8595,B6646,绵阳/1755,/,昆明
156,9C8729,B1657,扬州泰州/1405,/,昆明
157,9C8730,B1657,昆明/1755,/,扬州泰州
158,9C8823,B8646,遵义/1415,/,昆明
159,9C8824,B8646,昆明/1635,/,遵义
160,9C8827,B9965,芷江/0945,/,昆明
161,9C8828,B9965,昆明/1215,/,芷江
162,9C8829,B6862,常德/1630,/,昆明
163,9C8830,B6862,昆明/1935,/,常德
164,9C8937,B8012,石家庄/1035,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
165,9C8938,B8012,昆明/1450,/,石家庄
166,A67105,B8285,昆明/0940,/,南昌
167,A67106,B8318,南昌/1445,/,昆明
168,A67107,B8318,昆明/1825,/,郑州
169,A67108,B8318,郑州/2245,/,昆明
170,AK101,,VMKK/1305,/,昆明
171,AK102,,昆明/1740,/,吉隆坡
172,B7289,,高雄/0735,/,昆明
173,B7290,,昆明/1210,/,高雄
174,BK2743,B1962,昆明/1425,/,版纳
175,BK2744,B1962,版纳/1615,/,昆明
176,BK2797,B1732,长沙/0705,/,昆明
177,BK2798,B1732,昆明/1810,/,长沙
178,BK2845,B1732,昆明/1025,/,合肥
179,BK2846,B1732,合肥/1410,/,昆明
180,BK2897,B1962,天津/0945,/,昆明
181,BK2898,B1962,昆明/1820,/,天津
182,CA1401,B1528,天津/1530,/,昆明
183,CA1402,B1528,昆明/2020,/,天津
184,CA1403,B6498,北京/0630,/,昆明
185,CA1404,B6498,昆明/1140,/,北京
186,CA1467,B5572,天津/1240,/,昆明
187,CA1468,B5572,昆明/1720,/,天津
188,CA1481,,运城/1120,/,昆明
189,CA1482,,昆明/1450,/,运城
190,CA1487,B5213,达县/1215,/,昆明
191,CA1488,B5213,昆明/1510,/,达县
192,CA1751,B6032,杭州/0715,/,昆明
193,CA1752,B8743,昆明/1230,/,杭州
194,CA1753,B6677,杭州/1455,/,昆明
195,CA1754,B6677,昆明/1940,/,杭州
196,CA1937,B6882,上海/1555,/,昆明
197,CA1938,B6882,昆明/2100,/,上海
198,CA1955,B8743,温州/0800,/,昆明
199,CA1956,B6032,昆明/1210,/,温州
200,CA1987,B6773,温州/1730,/,昆明
201,CA1988,B6773,昆明/2205,/,温州
202,CA415,B6468,成都/0815,昆明/1050,仰光
203,CA415,,昆明/0800,/,仰光
204,CA416,,仰光/0800,/,昆明
205,CA416,B6468,仰光/1400,昆明/1720,成都
206,CA4171,B1686,昆明/0725,/,北京
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA4172,B1686,北京/1155,/,昆明
208,CA4173,B1686,昆明/1645,/,北京
209,CA4174,B1686,北京/2120,/,昆明
210,CA4175,B6767,昆明/0710,/,沈阳
211,CA4176,B6767,沈阳/1130,/,昆明
212,CA4275,B8338,昆明/1545,/,哈尔滨
213,CA4276,B8338,哈尔滨/0925,/,昆明
214,CA4413,B6916,成都/1115,/,昆明
215,CA4414,B6916,昆明/1355,/,成都
216,CA4417,B9925,成都/2105,/,昆明
217,CA4418,B9918,昆明/0850,/,成都
218,CA4459,B1852,成都/2155,/,昆明
219,CA4460,B6767,昆明/1825,/,成都
220,CA8929,,郑州/1100,/,昆明
221,CA8930,,昆明/1450,/,郑州
222,CF9017,B2824,昆明/0005,/,南京
223,CZ3247,B5356,桂林/1220,/,昆明
224,CZ3248,B5356,昆明/1500,/,桂林
225,CZ3407,B6685,广州/1355,/,昆明
226,CZ3408,B6685,昆明/1735,/,广州
227,CZ3409,B6526,广州/0820,/,昆明
228,CZ3410,B6526,昆明/1155,/,广州
229,CZ3415,B1921,广州/1135,/,昆明
230,CZ3416,B1921,昆明/1500,/,广州
231,CZ3419,B6623,广州/2215,/,昆明
232,CZ3420,B6202,昆明/0735,/,广州
233,CZ3431,B8547,海口/0805,/,昆明
234,CZ3432,B8547,昆明/1055,/,海口
235,CZ3451,B2351,深圳/1345,昆明/1720,丽江
236,CZ3452,B2351,丽江/1915,昆明/2120,深圳
237,CZ3459,B2392,深圳/0800,/,昆明
238,CZ3460,B2392,昆明/1135,/,深圳
239,CZ3467,B6251,长沙/1825,/,昆明
240,CZ3468,B6251,昆明/2130,/,长沙
241,CZ3481,B6242,广州/0700,昆明/1030,大理
