昆明机场飞行动态,,,,,
,,,,,2017年06月19日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8129,B6445,昆明/0925,/,版纳
2,3U8130,B6445,版纳/1115,/,昆明
3,3U8201,B6953,昆明/1610,/,上海
4,3U8202,B6953,上海/2025,/,昆明
5,3U8205,B8329,昆明/1700,/,广州
6,3U8206,B8329,广州/0615,/,昆明
7,3U8259,B6719,昆明/1120,/,南京
8,3U8260,B6719,南京/1510,/,昆明
9,3U8513,B6348,昆明/0715,/,重庆
10,3U8514,B6348,重庆/1545,/,昆明
11,3U8527,B6732,昆明/2320,/,西安
12,3U8528,B6732,西安/1950,/,昆明
13,3U8529,B1662,杭州/0900,/,昆明
14,3U8530,B1662,昆明/1305,/,杭州
15,3U8553,B8657,昆明/0845,/,重庆
16,3U8554,B8657,重庆/2235,/,昆明
17,3U8661,B6719,成都/0720,/,昆明
18,3U8662,B6955,昆明/2300,/,成都
19,3U8667,B6348,成都/2205,/,昆明
20,3U8668,B6348,昆明/1830,/,成都
21,3U8669,B6956,昆明/0730,/,成都
22,3U8670,B6956,成都/1720,/,昆明
23,3U8723,B6697,北京/0720,/,昆明
24,3U8724,B8331,昆明/2150,/,北京
25,3U8761,B1661,昆明/1510,/,无锡
26,3U8762,B1661,无锡/1925,/,昆明
27,3U8767,B1885,昆明/0700,/,南宁
28,3U8768,B1885,南宁/1440,/,昆明
29,3U8823,B6956,昆明/2005,/,南昌
30,3U8824,B6956,南昌/2315,/,昆明
31,3U8837,B6697,昆明/1415,/,万州
32,3U8838,B6697,万州/1140,/,昆明
33,3U8847,B6955,昆明/0750,/,郑州
34,3U8848,B6955,郑州/1905,/,昆明
35,3U8853,B6551,昆明/1615,/,徐州
36,3U8854,B6551,徐州/1205,/,昆明
37,3U8865,B6778,昆明/0720,/,宁波
38,3U8866,B6778,宁波/1110,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8901,B8948,昆明/0650,/,珠海
40,3U8902,B8948,珠海/1010,/,昆明
41,3U8917,B6953,昆明/0625,/,厦门
42,3U8918,B6953,厦门/1005,/,昆明
43,3U8929,B1887,昆明/0805,/,长沙
44,3U8930,B1887,长沙/1855,/,昆明
45,3U8947,B1661,昆明/0655,/,济南
46,3U8948,B1661,济南/1050,/,昆明
47,3U8957,B6778,昆明/1520,/,台北
48,3U8958,B6778,台北/1910,/,昆明
49,3U8967,B6445,昆明/1310,/,重庆
50,3U8968,B6445,重庆/2355,/,昆明
51,8L9503,B5971,昆明/1055,/,莫斯科
52,8L9504,B5971,莫斯科/2205,/,昆明
53,8L9519,B5248,昆明/1220,/,芒市
54,8L9520,B5248,芒市/1355,/,昆明
55,8L9555,B7989,昆明/2310,/,海口
56,8L9584,B8445,马尼拉/0440,/,昆明
57,8L9595,B7167,昆明/0900,/,吉隆坡
58,8L9596,B7167,吉隆坡/1335,/,昆明
59,8L9597,B6800,昆明/2350,/,曼谷
60,8L9623,B1825,昆明/1045,/,杭州
61,8L9624,B1825,杭州/1445,/,昆明
62,8L9644,B5292,芒市/1215,/,昆明
63,8L9648,B6943,淮安/1650,/,昆明
64,8L9651,B1586,昆明/0950,/,郑州
65,8L9656,B7989,忻州/1805,/,昆明
66,8L9689,B5810,昆明/1345,/,合肥
67,8L9690,B5810,合肥/1945,/,昆明
68,8L9801,B5810,昆明/2355,/,丽江
69,8L9805,B8446,昆明/1400,/,丽江
70,8L9806,B8732,丽江/1130,/,昆明
71,8L9841,B5810,昆明/0925,/,普洱
72,8L9842,B5810,普洱/1105,/,昆明
73,8L9850,B5805,迪庆/0905,/,昆明
74,8L9851,B5825,昆明/1800,/,腾冲
75,8L9852,B5825,腾冲/1245,/,昆明
76,8L9855,B7990,昆明/1550,/,绵阳
77,8L9857,B5249,昆明/1400,/,腾冲
78,8L9858,B5249,腾冲/1635,/,昆明
79,8L9862,B5359,合肥/1100,/,昆明
80,8L9864,B2677,重庆/1550,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9866,B1587,济南/1130,/,昆明
82,8L9869,B6015,昆明/1420,/,武汉
83,8L9870,B6015,武汉/2325,/,昆明
84,8L9874,B5407,赣州/1425,/,昆明
85,8L9875,B5248,昆明/1720,/,厦门
86,8L9876,B5248,厦门/2115,/,昆明
87,8L9883,B5449,昆明/1800,/,南京
88,8L9884,B5449,南京/2150,/,昆明
89,8L9887,B6800,昆明/0830,/,宜春
90,8L9888,B6800,宜春/1805,/,昆明
91,8L9889,B1587,昆明/1700,/,上海
92,8L9890,B1587,上海/2135,/,昆明
93,8L9891,B7988,昆明/0950,/,武汉
94,8L9892,B7988,武汉/2030,/,昆明
95,8L9897,B1798,昆明/1655,/,温州
96,8L9898,B1798,温州/2110,/,昆明
97,8L9903,B5805,版纳/2100,/,昆明
98,8L9904,B5805,昆明/1510,/,版纳
99,8L9906,B5249,昆明/2305,/,版纳
100,8L9907,B5292,版纳/0050,/,昆明
101,8L9909,B5249,版纳/1030,/,昆明
102,8L9910,B5249,昆明/0850,/,版纳
103,8L9913,B5249,版纳/2105,/,昆明
104,8L9914,B5249,昆明/1845,/,版纳
105,8L9921,B5805,昆明/1105,/,沧源
106,8L9922,B5805,沧源/1250,/,昆明
107,8L9942,B6221,大理/1655,/,昆明
108,8L9945,B5805,昆明/2355,/,成都
109,8L9946,B5823,成都/2350,/,昆明
110,8L9947,B1798,昆明/1025,/,成都
111,8L9948,B1798,成都/1310,/,昆明
112,8L9955,B6016,昆明/2200,/,郑州
113,8L9956,B1588,郑州/1410,/,昆明
114,8L9960,B6016,安庆/1545,/,昆明
115,8L9966,B6198,三亚/1030,/,昆明
116,8L9971,B6221,昆明/1900,/,海口
117,8L9972,B6221,海口/2145,/,昆明
118,8L9974,B7991,郑州/2230,/,昆明
119,8L9975,B1825,昆明/1900,/,广州
120,8L9976,B1825,广州/2230,/,昆明
121,8L9979,B6198,昆明/1620,/,深圳
122,8L9980,B6198,深圳/1955,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
123,8L9983,B2677,昆明/1930,/,西安
124,8L9984,B2677,西安/2255,/,昆明
125,8L9985,B8445,昆明/1530,/,太原
